,JCC/JCG/Ku,,,A.(1.9MHz),,B.(3.5MHz),,C.( 7MHz),,D.(10MHz),,E.(14MHz),,F.(18MHz),,G.(21MHz),,H.(24MHz),,I.(28MHz),,J.(50MHz),,K.(144MHz),,L.(430MHz),,M.(1200MHz),,N.(2400MHz),,O.(5600MHz),,,,Q.(24GHz帯),,R.(47GHz帯),,S.(77Hz帯),,T.(ｻﾃﾗｲﾄ),
,Name,,Number,Mode,Callsign,Mode,Callsign,Mode,Callsign,Mode,Callsign,Mode,Callsign,Mode,Callsign,Mode,Callsign,Mode,Callsign,Mode,Callsign,Mode,Callsign,Mode,Callsign,Mode,Callsign,Mode,Callsign,Mode,Callsign,Mode,Callsign,Mode,Callsign,電波形式,コールサイン,電波形式,コールサイン,電波形式,コールサイン,電波形式,コールサイン
,,,,check,Date,check,Date,check,Date,check,Date,check,Date,check,Date,check,Date,check,Date,check,Date,check,Date,check,Date,check,Date,check,Date,check,Date,check,Date,check,Date,確認,交信年月日,確認,交信年月日,確認,交信年月日,確認,交信年月日
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kudo,01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Sapporo           *Aug.31,1996",01029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Samani,01030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Saru,01031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Shizunai          *Mar.30,2006",01032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Shibetsu,01033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
